,symbol,start,end
100,NSE:CELLO-EQ,2023-11-06 04:25:00,2025-01-10 09:59:00
119,NSE:CONCORDBIO-EQ,2023-08-18 04:25:00,2025-01-10 09:59:00
129,NSE:DOMS-EQ,2023-12-20 04:14:00,2025-01-10 09:59:00
200,NSE:HAPPYFORGE-EQ,2023-12-27 04:14:00,2025-01-10 09:59:00
212,NSE:HONASA-EQ,2023-11-07 04:25:00,2025-01-10 09:59:00
253,NSE:JSWINFRA-EQ,2023-10-03 04:25:00,2025-01-10 09:59:00
259,NSE:JIOFIN-EQ,2023-08-21 04:25:00,2025-01-10 09:59:00
293,NSE:LLOYDSME-EQ,2023-07-17 03:45:00,2025-01-10 09:59:00
307,NSE:MANKIND-EQ,2023-05-09 04:14:00,2025-01-10 09:59:00
329,NSE:NSLNISP-EQ,2023-02-20 04:14:00,2025-01-10 09:59:00
337,NSE:NUVAMA-EQ,2023-09-26 04:25:00,2025-01-10 09:59:00
371,NSE:RRKABEL-EQ,2023-09-20 04:25:00,2025-01-10 09:59:00
389,NSE:SBFC-EQ,2023-08-16 04:25:00,2025-01-10 09:59:00
407,NSE:SIGNATURE-EQ,2023-09-27 04:25:00,2025-01-10 09:59:00
432,NSE:TVSSCS-EQ,2023-08-23 04:25:00,2025-01-10 09:59:00
445,NSE:TATATECH-EQ,2023-11-30 04:14:00,2025-01-10 09:59:00
484,NSE:WELSPUNLIV-EQ,2023-09-21 03:46:00,2025-01-10 09:59:00
